width,depth,curvature,point_count,label
0.2301,0.0159,4.3470,12,
0.1373,0.0405,20.5852,11,
0.2234,0.0619,10.8187,13,
0.2341,0.0292,3.8295,34,
0.0753,0.0080,10.9519,6,
0.0548,0.0020,11.2672,14,
0.1424,0.0077,3.9130,5,
0.1224,0.0511,17.7148,5,
0.0117,0.0078,181.8114,6,
0.2358,0.0185,4.9647,13,
0.1338,0.0370,22.6578,11,
0.2260,0.0834,11.1225,13,
0.2405,0.0320,3.9638,35,
0.0733,0.0081,11.3928,6,
0.0461,0.0043,16.5379,4,
0.0551,0.0019,14.1598,13,
0.1411,0.0208,9.1642,5,
0.1218,0.0522,17.5861,5,
0.0181,0.0055,126.5040,6,
0.2276,0.0132,3.5839,11,
0.1209,0.0273,27.9056,11,
0.2259,0.0739,11.4928,13,
0.2342,0.0326,4.0424,35,
0.0908,0.0101,10.0508,7,
0.0557,0.0037,9.3045,4,
0.0966,0.0030,3.3683,14,
0.1404,0.0119,6.2036,5,
0.1193,0.0488,18.1919,5,
0.0181,0.0059,133.8706,6,
0.2436,0.0133,4.4433,13,
0.1251,0.0291,26.9271,11,
0.2244,0.0773,11.3719,13,
0.2253,0.0253,3.7151,33,
0.0775,0.0088,11.4179,6,
0.0438,0.0046,18.8630,4,
0.0751,0.0019,3.7862,14,
0.1490,0.0159,6.1891,4,
0.1227,0.0534,17.6506,5,
0.0452,0.0090,38.3741,6,
0.2292,0.0191,5.1511,12,
0.1254,0.0284,26.6174,11,
0.2301,0.0735,11.0359,13,
0.2300,0.0268,3.7819,36,
0.0503,0.0036,11.6201,4,
0.0449,0.0035,13.5236,4,
0.0629,0.0008,1.9530,13,
0.1486,0.0029,1.7766,5,
0.1350,0.0700,16.6514,6,
0.0278,0.0046,47.9688,4,
0.0137,0.0025,161.1430,5,
0.2329,0.0209,3.9192,12,
0.1038,0.0293,18.1119,11,
0.2487,0.0476,10.7790,14,
0.2318,0.0265,3.5804,35,
0.0478,0.0045,15.2407,4,
0.0398,0.0017,9.1213,4,
0.0698,0.0015,2.7289,14,
0.1477,0.0038,1.5462,4,
0.1257,0.0696,18.4858,8,
0.0294,0.0079,80.4300,7,
0.2283,0.0165,4.6839,12,
0.1087,0.0302,16.8658,11,
0.2355,0.0653,9.7222,13,
0.2419,0.0292,3.5196,35,
0.0609,0.0032,7.7907,4,
0.0609,0.0009,2.8140,13,
0.1378,0.0229,10.0196,4,
0.1248,0.0537,17.2903,5,
0.0258,0.0061,84.1768,6,
0.2302,0.0135,4.7826,12,
0.0927,0.0256,19.8469,10,
0.2349,0.0642,9.9599,13,
0.2619,0.0392,3.9336,35,
0.0452,0.0016,6.6842,4,
0.0630,0.0028,5.5521,13,
0.1591,0.0318,13.4293,4,
0.1185,0.0037,2.2971,4,
0.1245,0.0510,17.0623,6,
0.0089,0.0008,200.0917,5,
0.2292,0.0134,4.6974,12,
0.0895,0.0290,22.1379,10,
